TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended,
"6,73999984934898",1,"102463,989124455","15903,8199085526","2759,18127815699","2963,59223230041","6,18198701197252","0,989425540052838",0,"-0,180078089116225","3,55560445436661","3,56008006088913","102447,821153794","7,19798278808594","2,62504376779712","-1,29E-12","0,115421244481718","64,7933693095926","560,739999849349"
"6,95999984443199",1,"102503,760905646","16421,5373914962","2761,20934981245","2965,62590892301","6,17808529192553","0,990049417182811",0,"-0,178365185687187","3,58049101443764","3,58484760499352","102487,463047337","7,25001525878906","2,72135880253737","-1,33E-12","0,120208735922798","66,929341758789","560,959999844432"
"7,17999983951501",1,"102543,851184742","16939,5392357575","2763,23797545107","2967,66017032603","6,17418386990175","0,990674233601201",0,"-0,176684297783724","3,60532340348216","3,60957545400703","102527,422922291","7,30208129882813","2,81836611711664","-1,38E-12","0,125065479069159","69,0666633786786","561,179999839515"
"7,399999834597",1,"102584,261224955","17457,9306925717","2765,26715378803","2969,69501520973","6,17028244787798","0,991299736836635",0,"-0,175027893827373","3,63011157365819","3,63425393651667","102567,702041413","7,35416564941406","2,91606752664482","-1,43E-12","0,129991932964502","71,205336508283","561,399999834597"
"7,61999982968001",1,"102624,992291543","17976,6057556596","2767,29688474613","2971,73044347511","6,16638072783098","0,991926117347919",0,"-0,17340999546142","3,65482589649373","3,65885712467765","102608,301669256","7,40625610351563","3,01446484165392","-1,48E-12","0,134988445924533","73,3453621871331","561,61999982968"
"7,839999824762",1,"102666,045650028","18495,648129968","2769,32716775373","2973,76645453026","6,16247930580721","0,992553130338069",0,"-0,171835179848532","3,67949315297445","3,6834344754035","102649,223071154","7,45837707519531","3,1135598676161","-1,52E-12","0,140055532296645","75,4867425526719","561,839999824762"
"8,05999981984502",1,"102707,422566892","19014,994994543","2771,35800177334","2975,80304732697","6,15857788378344","0,993180865511917",0,"-0,170287773115105","3,70409611365001","3,70791764824291","102690,467513281","7,51050415039063","3,21335440390058","-1,57E-12","0,145193445569414","77,62947885611","562,059999819845"
"8,27999981492798",1,"102749,124309423","19534,7085202929","2773,38938750175","2977,84022253999","6,15467616373644","0,993809824415439",0,"-0,16876266794085","3,7286560932534","3,73238214529234","102732,03626257","7,56265563964844","3,31385024498207","-1,62E-12","0,15040273648215","79,7735732227708","562,279999814928"
"8,49999981001002",1,"102791,152146657","20054,7257292065","2775,42132370952","2979,8779789143","6,15077474171267","0,994439352783824",0,"-0,167281043586232","3,7531678141099","3,75686472891258","102773,930587243","7,61483764648438","3,41504918082794","-1,67E-12","0,155683920456128","81,9190268807528","562,49999981001"
"8,71999980509298",1,"102833,507348232","20575,0873705259","2777,45380997371","2981,91631600569","6,14687302166567","0,995069556724179",0,"-0,16582856048357","3,77761496499564","3,78118391347817","102816,151756824","7,66702880859375","3,51695299612487","-1,72E-12","0,16103718883737","84,0658422583008","562,719999805093"
"8,93999980017497",1,"102876,191184952","21095,7833428617","2779,4868456115","2983,95523311795","6,1429715996419","0,995700456300563",0,"-0,16441444959666","3,8020046450308","3,80551257634859","102858,701041591","7,71922912597656","3,61956346950545","-1,77E-12","0,166463065344128","86,2140202907985","562,939999800175"
"9,15999979525799",1,"102919,204928384","21616,8132805938","2781,52043105964","2985,99473065975","6,1390698795949","0,996332471768007",0,"-0,163042238156131","3,82632925916852","3,82970230333923","102901,579712796","7,77144470214844","3,72288237493426","-1,82E-12","0,17196176673099","88,3635634070337","563,159999795258"
"9,379999790341",1,"102962,549850652","22138,1767970571","2783,55456532193","2988,03480762067","6,13516875559435","0,996965129721997",0,"-0,161688475255811","3,85061731156434","3,85389780845014","102944,789042384","7,82369384765625","3,82691148016056","-1,87E-12","0,177533804180258","90,5144735202872","563,379999790341"
"9,599999785423",1,"103006,227225652","22659,8419683184","2785,58924852465","2990,07546409009","6,13126703554735","0,997598763696804",0,"-0,16038086362591","3,87484084912245","3,87806382632362","102988,330303392","7,87594909667969","3,93165254924907","-1,92E-12","0,183179636070537","92,6667517115214","563,599999785423"
